coldata$id X3543.CF.1 X3543.CF.198 X3543.CF.221 X3543.CF.274 X3543.CF.249 X3543.CF.145 X3543.CF.294 X3543.CF.253 X3543.CF.201
CAR 3 13 2 7 13 24 28 32 9
ENSG00000000003 0 0 0 0 0 0 0 0 0
ENSG00000000419 83 82 101 112 172 75 116 198 120
ENSG00000000457 76 157 137 137 254 99 220 239 178
ENSG00000000460 31 27 23 49 68 31 54 111 45
ENSG00000000938 3615 3975 4799 2975 4463 2540 4075 7836 4655
ENSG00000000971 26 53 11 33 7 6 56 19 8
ENSG00000001036 200 248 198 203 266 138 229 336 228
ENSG00000001084 220 175 126 341 256 98 180 236 212
ENSG00000001167 236 375 354 291 425 194 444 653 404
ENSG00000001460 1 1 11 17 17 0 8 18 22
ENSG00000001461 177 267 246 237 349 193 288 393 277
ENSG00000001497 133 282 136 205 376 265 233 414 288
ENSG00000001561 153 65 46 89 94 62 141 137 98
ENSG00000001617 1 0 0 0 0 0 0 0 0
ENSG00000001626 0 2 0 0 0 0 0 0 0
ENSG00000001629 294 381 333 340 509 216 452 659 347
ENSG00000001630 147 121 174 111 163 56 129 209 151
ENSG00000001631 91 134 128 148 211 121 188 312 223
ENSG00000002016 67 87 102 35 83 22 72 97 52
ENSG00000002079 0 0 7 0 0 0 0 0 0
ENSG00000002330 83 110 111 116 99 121 62 132 93
ENSG00000002549 670 690 566 629 1095 720 1762 2027 747
ENSG00000002586 2433 1505 2364 2427 1272 1447 1243 3175 1245
ENSG00000002587 19 16 11 6 10 0 2 17 8
ENSG00000002726 0 0 0 0 0 0 17 0 0
ENSG00000002745 5 2 0 9 1 11 6 5 0
ENSG00000002746 0 0 0 0 0 0 0 0 0
ENSG00000002822 287 473 529 400 576 324 507 645 337
ENSG00000002834 1804 1923 2011 1903 2621 1744 1944 3615 1867
ENSG00000002919 70 158 105 78 202 136 130 199 157
ENSG00000002933 16 28 988 183 45 23 383 1134 393
ENSG00000003056 708 1165 997 847 1410 924 996 1727 1286
ENSG00000003096 8 1 8 5 0 0 0 1 2
ENSG00000003147 86 35 37 40 36 30 35 52 7
ENSG00000003249 2 0 0 0 0 0 1 9 13
ENSG00000003393 109 173 156 116 203 100 167 307 201
ENSG00000003400 261 474 398 268 611 307 461 840 399
ENSG00000003402 2086 2909 3050 1640 2970 1522 2994 5549 2639
ENSG00000003436 466 89 555 224 102 44 24 330 60
ENSG00000003509 52 117 95 81 164 39 80 206 101
ENSG00000003756 865 1838 1303 1272 1947 949 1831 2920 1757
ENSG00000003987 23 49 66 36 53 19 74 83 51
ENSG00000004059 476 442 500 358 501 316 317 742 390
ENSG00000004139 34 154 57 119 220 131 214 285 162
ENSG00000004142 187 258 195 238 374 203 244 493 230
ENSG00000004399 1503 2479 1564 1442 1928 1058 1730 3198 1740
ENSG00000004455 285 573 312 431 678 284 494 738 577
ENSG00000004468 222 129 169 210 598 239 238 775 285
ENSG00000004478 124 162 132 278 325 334 203 401 191
ENSG00000004487 481 576 464 530 644 530 623 898 554
ENSG00000004534 464 837 696 799 1370 521 1173 1696 1152
ENSG00000004660 51 143 58 54 160 17 72 132 77
ENSG00000004700 298 335 273 408 703 179 520 782 572
ENSG00000004766 104 145 109 215 217 62 220 323 221
ENSG00000004776 14 0 15 2 1 0 2 1 2
ENSG00000004777 17 78 16 21 42 5 42 59 42
ENSG00000004779 139 162 160 161 237 184 143 336 164
ENSG00000004799 860 1250 1112 809 741 458 944 2393 284
ENSG00000004809 30 26 11 47 5 9 10 21 4
ENSG00000004838 1 4 0 2 1 10 13 11 10
ENSG00000004846 0 0 0 0 0 0 0 0 0
ENSG00000004848 0 0 0 0 0 0 0 0 0
ENSG00000004864 109 118 83 92 101 36 100 177 93
ENSG00000004866 165 66 184 101 60 108 56 84 50
ENSG00000004897 338 321 474 631 486 226 410 757 330
ENSG00000004939 715 49 274 4753 54 8 216 25 11
ENSG00000004948 0 2 0 0 0 0 0 0 0
ENSG00000004961 75 83 61 160 138 59 145 214 67
ENSG00000004975 46 118 83 98 146 64 93 161 110
ENSG00000005001 0 0 0 2 0 0 0 7 0
ENSG00000005007 433 883 762 718 885 615 804 1346 713
ENSG00000005020 1655 1153 2055 1079 1255 594 858 2038 995
ENSG00000005022 551 668 545 589 1007 734 477 1077 683
ENSG00000005059 208 199 120 223 368 135 257 420 282
ENSG00000005075 327 179 273 402 296 272 217 423 281
ENSG00000005100 145 144 109 102 135 74 127 205 138
ENSG00000005102 6 7 0 18 3 8 2 21 11
ENSG00000005108 0 0 0 7 0 0 0 0 7
ENSG00000005156 181 390 237 231 392 208 375 580 395
ENSG00000005175 194 215 194 353 430 113 273 398 360
ENSG00000005187 51 5 39 59 19 21 15 50 32
ENSG00000005189 24 4 16 24 12 5 0 28 9
ENSG00000005194 78 133 70 122 124 101 110 150 104
ENSG00000005206 107 250 131 82 210 52 130 275 189
ENSG00000005238 290 298 345 271 393 135 238 481 279
ENSG00000005243 2 9 8 4 2 16 5 3 9
ENSG00000005249 4771 2121 7769 2671 1552 1396 276 2583 876
ENSG00000005302 447 693 603 507 850 353 687 1053 701
ENSG00000005339 2553 3470 2703 1924 3485 1836 3492 4943 3129
ENSG00000005379 134 183 168 232 437 193 352 424 350
ENSG00000005381 989 78 135 298 41 48 160 69 103
ENSG00000005421 2 1 0 0 0 0 0 0 0
ENSG00000005436 33 79 49 166 139 54 99 141 140
ENSG00000005448 8 29 9 35 50 42 24 59 12
ENSG00000005469 21 41 34 49 47 75 41 95 67
